COUNT,RARITY,METATOON STUDIOS CHARACTER,BACKGROUND NAME,BACKGROUND COLOR,SKIN,SKIN COLOR NAME,BODY,BODY COLOR NAME,FACE,FACE COLOR NAME,FRECKLES,WHISKERS,TEETH,TEETH COLOR NAME,TONGUE,TONGUE COLOR,EYES,EYE COLOR NAME,TRAIT 1,TRAIT 1 - COLOR 1,TRAIT 1 - COLOR 2,TRAIT 2,TRAIT 2 - COLOR 1,TRAIT 2 - COLOR 2,TRAIT 3,TRAIT 3 - COLOR 1,TRAIT 3 - COLOR 2,TRAIT 4,TRAIT 4 - COLOR 1,TRAIT 4 - COLOR 2,PROP
1,SECRET RARE,FUD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,SECRET RARE,TIME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,SECRET RARE,PROPOSAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,SECRET RARE,DESIRES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,BONES,BONE,BONES,BONE,BONES,BONE,NA,NA,WOLF FANGS,BONE,NA,NA,HOLLOW BONES,RIOUGH BONE,HELL N BACK,FIAT YELLOW,BRIORANGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,BONES,BONE,BONES,BONE,BONES,BONE,NA,NA,WOLF FANGS,BONE,NA,NA,HOLLOW BONES,RIOUGH BONE,HELL N BACK,POW RED,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,BONES,BONE,BONES,BONE,BONES,BONE,NA,NA,WOLF FANGS,BONE,NA,NA,HOLLOW BONES,RIOUGH BONE,HELL N BACK,BILLIE GREEN,TUXEDO BLACK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,BONES,BONE,BONES,BONE,BONES,BONE,NA,NA,WOLF FANGS,BONE,NA,NA,HOLLOW BONES,RIOUGH BONE,HELL N BACK,POW RED,FIAT YELLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,BONES,BONE,BONES,BONE,BONES,BONE,NA,NA,WOLF FANGS,BONE,NA,NA,HOLLOW BONES,RIOUGH BONE,HELL N BACK,FIAT YELLOW,POW RED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,BONES,BONE,BONES,BONE,BONES,BONE,NA,NA,WOLF FANGS,BONE,NA,NA,HOLLOW BONES,RIOUGH BONE,HELL N BACK,KILLER PINK,BILLIE GREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,BONES,BONE,BONES,BONE,BONES,BONE,NA,NA,WOLF FANGS,BONE,NA,NA,HOLLOW BONES,RIOUGH BONE,HELL N BACK,ROYAL BLUE,GOLD RUSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,BONES,ORIGIN RED,BONES,ORIGIN RED,BONES,ORIGIN RED,NA,NA,WOLF FANGS,BONE,NA,NA,HOLLOW BONES,DEAD ROSE,HELL N BACK,BRIORANGE,FIAT YELLOW,,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,HOODIE,POW RED,OG,MOONLIGHT,HOWLLING ,SUNNY BROWN,NA,YES,NA,NA,NA,NA,XX,TUXEDO BLACK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,HOODIE,AQUA GREY,OG,TUXEDO BLACK,HOWLLING ,ORIGINAL CREAM,NA,YES,NA,NA,NA,NA,PABLO'S WEB,LUSH BROWN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,HOODIE,FLAMINGO PINK,OG,TUXEDO BLACK,LAUGHING,BONE,NA,YES,WOLF FANGS,BONE,OG,NOPAL GREEN,XX,TUXEDO BLACK,SALVATION,FIAT YELLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,HOODIE,REAPER GREY,OG,TUXEDO BLACK,LAUGHING,PEACH COBBLER,NA,YES,WOLF FANGS,DARK WHITE,OG,RED RUM,LOONY EYES,CARBON GREY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,HOODIE,TANGERINE,OG,MOONLIGHT,LAUGHING,GHOST GREY,NA,YES,WOLF FANGS,DARK WHITE,OG,HONEYCOMB,TOON EYES,CARBON GREY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,HOODIE,ROYAL BLUE,OG,FUDSICLE,LAUGHING,VANILLA CREAM,NA,YES,WOLF FANGS,VANILLA CREAM,OG,JUNGLE MINT,INFATUATION,PASTEL PINK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,HOODIE,REAPER GREY,OG,TUXEDO BLACK,LAUGHING,GHOST WHITE,NA,YES,WOLF FANGS,DARK WHITE,OG,GRAVE PURPLE,HADES LENS,DUSK GREY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEND HELP
20,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,HOODIE,ROYAL BLUE,OG,GOLD RUSH,MALICIOUS,BANNA PUDDING,NA,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,TOON EYES,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,HOODIE,CAPPUCCINO,OG,POW RED,MALICIOUS,LATTE,NA,YES,WOLF FANGS,DARK WHITE,OG,FIAT YELLOW,TOON EYES,FIAT YELLOW,CONDEMNED,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOLLIWOP
22,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,HOODIE,DOOM GREEN,OG,MOCHA,MALICIOUS,DOOM BROWN,NA,YES,WOLF FANGS,HONEYCOMB,OG,DOOM RED,TOON EYES,GOLD RUSH,SALVATION,FIAT YELLOW,NA,DANIEL'S HEIRLOOM,ICONIC GREY,NA,NA,NA,NA,NA,NA,NA,NA
